Time,max(coordsX_Meniscus),min(coordsX_Meniscus),time (s),Udown (m/s),eKinTot (j),eDissTot (J),divDevRhoTot(N),# Time,pressureForceX,pressureForceY,pressureForceZ,viscousForceX,viscousForceY,viscousForceZ,capillaryForceX,capillaryForceY,capillaryForceZ
9.99987e-11,1.60164e-07,1.59173e-07,9.99987108779e-11,-1e+300,1.83803487328e-23,2.45717549705e-25,(1.53582360698e-11 2.9485478511e-28 -9.98323470501e-13),9.99987108779e-11,0.0,0.0,-3.05610893816e-08,2.2685796105e-11,1.91115465702e-27,0.0,1.83302865351e-11,1.96170899689e-25,1.87086952808e-11
2.00001e-10,1.59898e-07,1.58843e-07,2.00001285549e-10,-1e+300,2.0377296617e-23,2.38651993911e-25,(1.53056357873e-11 2.0402391029e-28 -7.46594694853e-13),2.00001285549e-10,0.0,0.0,-3.2590710778e-08,2.21762936468e-11,1.27790000705e-27,0.0,1.83297661821e-11,1.31478881177e-25,1.88434072095e-11
2.99998e-10,1.59597e-07,1.58537e-07,2.9999795976e-10,-1e+300,2.06739345749e-23,2.41973192375e-25,(1.54028383796e-11 4.61935636883e-29 -7.24909487201e-13),2.9999795976e-10,0.0,0.0,-3.38102916055e-08,2.21646711206e-11,1.20326289514e-27,0.0,1.83291425049e-11,4.42112192583e-26,1.89245192852e-11
3.99998e-10,1.59294e-07,1.58236e-07,3.99997962038e-10,-1e+300,2.07060289161e-23,2.45734629811e-25,(1.5551393528e-11 -2.51821797273e-28 -7.23067897884e-13),3.99997962038e-10,0.0,0.0,-3.46362822446e-08,2.22331175242e-11,9.00172550971e-28,0.0,1.8328488802e-11,-5.70390290469e-26,1.89824618072e-11
4.99999e-10,1.58996e-07,1.57938e-07,4.99998950859e-10,-1e+300,2.0660762751100002e-23,2.49214452803e-25,(1.57328976068e-11 -9.85646277177e-28 -7.24082770292e-13),4.99998950859e-10,0.0,0.0,-3.59174834786e-08,2.23269797157e-11,-2.22986943956e-28,0.0,1.8327835747e-11,-1.6748316777499998e-25,1.90224601892e-11
5.99999e-10,1.58705e-07,1.57646e-07,5.99998964394e-10,-1e+300,2.05738868161e-23,2.52167993834e-25,(1.58866232202e-11 -1.14005950687e-27 -7.21318100142e-13),5.99998964394e-10,0.0,0.0,-3.7442406698e-08,2.23867443342e-11,-5.21085413251e-28,0.0,1.83271750674e-11,-2.82602387287e-25,1.90472459754e-11
7.00003e-10,1.58419e-07,1.57362e-07,7.00003206778e-10,-1e+300,2.0507306224900002e-23,2.55183017995e-25,(1.60134341028e-11 -1.13309895396e-27 -7.11689278725e-13),7.00003206778e-10,0.0,0.0,-3.80268335471e-08,2.2425664047e-11,-3.45988263517e-28,0.0,1.83265118505e-11,-3.92431562134e-25,1.90589781658e-11
7.99998e-10,1.58135e-07,1.57078e-07,7.99998477218e-10,-1e+300,2.0469107762700002e-23,2.58330360531e-25,(1.62016296189e-11 -3.57367027667e-28 -7.08636524233e-13),7.99998477218e-10,0.0,0.0,-3.96851300517e-08,2.25315451738e-11,2.8643832578800003e-28,0.0,1.8325856681e-11,-4.8402536067199985e-25,1.9060950493e-11
9.00004e-10,1.57855e-07,1.56796e-07,9.00003552545e-10,-1e+300,2.0402998230500002e-23,2.61063859877e-25,(1.63509788539e-11 2.06241863732e-28 -7.03138740391e-13),9.00003552545e-10,0.0,0.0,-4.04040734897e-08,2.26036296747e-11,3.28009501553e-28,0.0,1.83252154297e-11,-5.49362563277e-25,1.90562156909e-11
9.99999e-10,1.57581e-07,1.56525e-07,9.99998877473e-10,-1e+300,2.0349664898600002e-23,2.63492413892e-25,(1.64653087719e-11 9.32085413839e-28 -6.93194775785e-13),9.99998877473e-10,0.0,0.0,-4.19088630183e-08,2.26299008463e-11,4.7685232514300005e-28,0.0,1.83245878943e-11,-5.89080807792e-25,1.90453914859e-11
