time (s),Udown (m/s),eKinTot (j),eDissTot (J),divDevRhoTot(N)
9.99987108779e-11,-1e+300,1.83803487328e-23,2.4571754970499997e-25,(1.53582360698e-11 2.9485478511e-28 -9.98323470501e-13)
2.00001285549e-10,-1e+300,2.0377296617e-23,2.38651993911e-25,(1.53056357873e-11 2.0402391029e-28 -7.46594694853e-13)
2.9999795976e-10,-1e+300,2.06739345749e-23,2.41973192375e-25,(1.54028383796e-11 4.61935636883e-29 -7.24909487201e-13)
3.99997962038e-10,-1e+300,2.07060289161e-23,2.45734629811e-25,(1.5551393528e-11 -2.51821797273e-28 -7.23067897884e-13)
4.99998950859e-10,-1e+300,2.0660762751100002e-23,2.49214452803e-25,(1.57328976068e-11 -9.85646277177e-28 -7.24082770292e-13)
5.99998964394e-10,-1e+300,2.05738868161e-23,2.5216799383399997e-25,(1.58866232202e-11 -1.14005950687e-27 -7.21318100142e-13)
7.00003206778e-10,-1e+300,2.0507306224900002e-23,2.55183017995e-25,(1.60134341028e-11 -1.13309895396e-27 -7.11689278725e-13)
7.99998477218e-10,-1e+300,2.0469107762700002e-23,2.58330360531e-25,(1.62016296189e-11 -3.57367027667e-28 -7.08636524233e-13)
9.00003552545e-10,-1e+300,2.0402998230500002e-23,2.61063859877e-25,(1.63509788539e-11 2.06241863732e-28 -7.03138740391e-13)
9.99998877473e-10,-1e+300,2.0349664898600002e-23,2.63492413892e-25,(1.64653087719e-11 9.32085413839e-28 -6.93194775785e-13)
1.09999709019e-09,-1e+300,2.0329488920900003e-23,2.66225850121e-25,(1.66193840296e-11 1.82105768604e-27 -6.86477892318e-13)
1.19999899342e-09,-1e+300,2.02856200845e-23,2.68636432996e-25,(1.67561718744e-11 3.22540624635e-27 -6.81401336012e-13)
1.29999752381e-09,-1e+300,2.02458654834e-23,2.7085082112e-25,(1.68515054003e-11 4.20446164064e-27 -6.71650350759e-13)
1.40000151887e-09,-1e+300,2.0230711409100002e-23,2.73115596886e-25,(1.69815510735e-11 4.44466856338e-27 -6.64576805191e-13)
1.50000332894e-09,-1e+300,2.0191833034900002e-23,2.75249149034e-25,(1.70987986358e-11 3.91186003696e-27 -6.59662756448e-13)
1.60000033853e-09,-1e+300,2.01583669237e-23,2.77067206874e-25,(1.71779105702e-11 3.10832063812e-27 -6.49670646787e-13)
1.69999994432e-09,-1e+300,2.01387386382e-23,2.7917511219299997e-25,(1.72933444775e-11 2.4362521475e-27 -6.43624947341e-13)
1.80000268051e-09,-1e+300,2.00981949206e-23,2.80721031486e-25,(1.73938823735e-11 2.04120188113e-27 -6.39319700589e-13)
1.9000032544e-09,-1e+300,2.00643210059e-23,2.82421748271e-25,(1.74456852069e-11 1.97596884007e-27 -6.26466422004e-13)
1.99999633103e-09,-1e+300,2.0045246352100002e-23,2.84241016538e-25,(1.75654046283e-11 2.54354748787e-27 -6.24725580513e-13)
2.10000223043e-09,-1e+300,2.00072262302e-23,2.85710492538e-25,(1.76381352486e-11 2.37947247326e-27 -6.18625562673e-13)
2.19999804005e-09,-1e+300,1.9970220059800002e-23,2.8728964157099997e-25,(1.77016373327e-11 2.48285185989e-27 -6.08571413313e-13)
2.30000286163e-09,-1e+300,1.9929752314000002e-23,2.88644936334e-25,(1.779307269e-11 1.67599702183e-27 -6.07011836252e-13)
2.40000396425e-09,-1e+300,1.98917399203e-23,2.89946476517e-25,(1.78369071574e-11 1.98396427619e-27 -5.9619944952e-13)
2.50000009834e-09,-1e+300,1.9859461689000002e-23,2.91503401362e-25,(1.79222305553e-11 2.36500863597e-27 -5.92794698469e-13)
2.59999773964e-09,-1e+300,1.98183997043e-23,2.92765964664e-25,(1.79811331175e-11 2.88390697976e-27 -5.87883169518e-13)
2.70000243134e-09,-1e+300,1.9771257691300002e-23,2.93942253441e-25,(1.80301757822e-11 3.32685479302e-27 -5.79003500394e-13)
2.79999938229e-09,-1e+300,1.97313915867e-23,2.9510570154899997e-25,(1.81050617598e-11 3.56297763414e-27 -5.77406975174e-13)
2.90000280472e-09,-1e+300,1.96752954652e-23,2.96044008662e-25,(1.81278690213e-11 3.5245216488e-27 -5.6666021954e-13)
3.0000012659e-09,-1e+300,1.9638472293700002e-23,2.9735515714899998e-25,(1.82103532309e-11 3.41731104994e-27 -5.6522575958e-13)
3.10000207776e-09,-1e+300,1.9595625743400002e-23,2.98457270846e-25,(1.82458859498e-11 3.183701534e-27 -5.57783458535e-13)
3.20000034089e-09,-1e+300,1.95510528898e-23,2.99416820094e-25,(1.83047950499e-11 2.46393065066e-27 -5.54003464981e-13)
3.29999943493e-09,-1e+300,1.9508382100600002e-23,3.00485172739e-25,(1.83512293694e-11 2.2239386428e-27 -5.48610547881e-13)
3.39999667463e-09,-1e+300,1.945352966e-23,3.01489682431e-25,(1.83853901024e-11 2.24100079816e-27 -5.42959868167e-13)
3.49999857278e-09,-1e+300,1.94125872551e-23,3.02468308307e-25,(1.84430180809e-11 2.99966691532e-27 -5.39875567192e-13)
3.60000033055e-09,-1e+300,1.93531798432e-23,3.03136352608e-25,(1.84627748762e-11 3.93840402658e-27 -5.33181672392e-13)
3.70000341899e-09,-1e+300,1.93146128724e-23,3.04275235593e-25,(1.85261222281e-11 4.28821420363e-27 -5.3047182636e-13)
3.79999924747e-09,-1e+300,1.9249554035e-23,3.0493190235199997e-25,(1.85327404389e-11 4.49399176198e-27 -5.2417578547e-13)
3.90000415259e-09,-1e+300,1.92129551421e-23,3.05951544258e-25,(1.8601944688e-11 3.62783562476e-27 -5.22022863162e-13)
